run,seed,strategy,top_k,oracle_top10_overlap,affected_jobs_total,affected_job_minutes_total,affected_jobs_developer_window,affected_job_minutes_developer_window,p95_wait_seconds_developer_window,p99_wait_seconds_developer_window,minutes_avoided_total,percent_minutes_saved_total,minutes_avoided_developer_window,percent_minutes_saved_developer_window,affected_jobs_avoided_developer_window
8,20260628,peak_concurrency,10,1,1986,1363.1340545991818,976,654.8412417147042,36.36275186501864,47.18946196502865,822.395016041856,37.629104416380024,141.93198620519695,17.81334779228617,188
8,20260628,hybrid_count_concurrency_a0.5,10,1,1986,1363.1340545991818,976,654.8412417147042,36.36275186501864,47.18946196502865,822.395016041856,37.629104416380024,141.93198620519695,17.81334779228617,188
8,20260628,count_x_pull_time,10,1,1986,1363.1340545991818,976,654.8412417147042,36.36275186501864,47.18946196502865,822.395016041856,37.629104416380024,141.93198620519695,17.81334779228617,188
8,20260628,dev_weighted_count_x_pull_time,10,0,1983,1363.5730981879715,996,669.6571221318184,36.36275186501864,47.18946196502865,821.9559724530664,37.609015752509684,127.11610578808279,15.953862571404274,168
8,20260628,model_exposure_dev,10,2,1970,1336.6882499537253,859,563.5531750947026,32.412018690502975,42.40870214539534,848.8408206873125,38.83914572860561,233.22005282519854,29.270568419329965,305
8,20260628,oracle_impact_upper_bound,10,10,2029,1486.6246503334924,598,392.8371720706631,0.0,42.40870214539534,698.9044203075455,31.978729072798366,403.9360558492381,50.6964895022609,566
9,20260629,count,10,0,1971,1559.5608503900228,939,742.491837656986,33.19375591007453,68.56882148026284,802.1140132588991,33.96377823235106,157.98815878554126,17.54488266365668,216
9,20260629,dev_weighted_count,10,1,1968,1526.5510362254108,961,742.3664712253553,33.19375591007453,68.56882148026284,835.1238274235111,35.361507220058115,158.11352521717197,17.55880484206442,194
9,20260629,recent_count,10,0,1968,1551.7569140961177,967,756.721698592429,33.19375591007453,68.56882148026284,809.9179495528042,34.294218989206456,143.7582978500983,15.964629799444257,188
9,20260629,peak_concurrency,10,0,1971,1559.5608503900228,939,742.491837656986,33.19375591007453,68.56882148026284,802.1140132588991,33.96377823235106,157.98815878554126,17.54488266365668,216
9,20260629,hybrid_count_concurrency_a0.5,10,0,1971,1559.5608503900228,939,742.491837656986,33.19375591007453,68.56882148026284,802.1140132588991,33.96377823235106,157.98815878554126,17.54488266365668,216
9,20260629,count_x_pull_time,10,1,1969,1515.4988695282275,951,731.7057066223647,32.33618111899644,68.56882148026284,846.1759941206944,35.82948724843963,168.7742898201626,18.74270283481356,204
9,20260629,dev_weighted_count_x_pull_time,10,1,1968,1489.8253770487186,962,730.0404982621862,32.33618111899644,68.56882148026284,871.8494866002034,36.91657560571849,170.43949818034105,18.927627360261884,193
9,20260629,model_exposure_dev,10,6,1985,1405.954669133709,703,457.3411718697628,0.0,46.62036982848508,955.7201945152128,40.467898830009595,443.1388245727645,49.211401288584604,452
9,20260629,oracle_impact_upper_bound,10,10,2002,1441.3973970860786,632,409.7337418822757,0.0,42.72876218790952,920.2774665628433,38.96715338456718,490.7462545602516,54.4982960753169,523
10,20260630,count,10,1,1991,1537.2388761828192,907,726.2095557029442,32.1155390304981,58.107288019110186,938.1854676650091,37.89998551144095,178.2951162116011,19.7119066100795,211
10,20260630,dev_weighted_count,10,1,1991,1506.2797454671495,907,715.6834512596165,32.1155390304981,58.107288019110186,969.1445983806789,39.150645051596655,188.82122065492877,20.875649017406953,211
10,20260630,recent_count,10,1,1992,1500.1296849746839,911,715.8458533568951,32.1155390304981,58.107288019110186,975.2946588731445,39.399089747866626,188.6588185576502,20.85769420718637,207
10,20260630,peak_concurrency,10,1,1991,1537.2388761828192,907,726.2095557029442,32.1155390304981,58.107288019110186,938.1854676650091,37.89998551144095,178.2951162116011,19.7119066100795,211
10,20260630,hybrid_count_concurrency_a0.5,10,1,1991,1537.2388761828192,907,726.2095557029442,32.1155390304981,58.107288019110186,938.1854676650091,37.89998551144095,178.2951162116011,19.7119066100795,211
